age,workclass,education,education.num,marital.status,occupation,relationship,race,sex,hours.per.week,income
52.00,Private,Prof-school,15.00,Divorced,Exec-managerial,Not-in-family,White,Male,60.00,>50K
51.00,Private,Bachelors,13.00,Divorced,Exec-managerial,Not-in-family,White,Male,50.00,>50K
60.00,Self-emp-not-inc,HS-grad,9.00,Never-married,Exec-managerial,Not-in-family,Black,Male,50.00,>50K
63.00,Federal-gov,Doctorate,16.00,Divorced,Exec-managerial,Not-in-family,White,Female,60.00,>50K
53.00,Private,HS-grad,9.00,Never-married,Sales,Not-in-family,White,Male,48.00,>50K
51.00,Private,Prof-school,15.00,Never-married,Prof-specialty,Not-in-family,White,Female,50.00,>50K
37.00,Self-emp-not-inc,Doctorate,16.00,Never-married,Prof-specialty,Not-in-family,White,Female,60.00,>50K
54.00,Private,Masters,14.00,Divorced,Prof-specialty,Not-in-family,White,Female,40.00,>50K
44.00,Private,Bachelors,13.00,Divorced,Exec-managerial,Unmarried,White,Male,50.00,>50K
43.00,Private,Masters,14.00,Divorced,Exec-managerial,Unmarried,White,Female,40.00,>50K
51.00,Private,Some-college,10.00,Divorced,Adm-clerical,Unmarried,White,Female,40.00,>50K
43.00,Private,Masters,14.00,Divorced,Prof-specialty,Unmarried,White,Female,40.00,>50K
71.00,?,HS-grad,9.00,Married-civ-spouse,?,Husband,White,Male,15.00,<=50K
48.00,Private,Bachelors,13.00,Married-spouse-absent,Sales,Unmarried,White,Female,70.00,>50K
71.00,Private,HS-grad,9.00,Married-civ-spouse,Sales,Husband,White,Male,52.00,<=50K
73.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,40.00,<=50K
68.00,?,Some-college,10.00,Married-civ-spouse,?,Wife,White,Female,40.00,<=50K
67.00,?,Some-college,10.00,Married-civ-spouse,?,Husband,White,Male,40.00,<=50K
40.00,Self-emp-not-inc,Prof-school,15.00,Never-married,Prof-specialty,Not-in-family,White,Male,45.00,>50K
50.00,Private,HS-grad,9.00,Widowed,Sales,Not-in-family,White,Female,72.00,>50K
51.00,State-gov,Assoc-voc,11.00,Divorced,Tech-support,Not-in-family,White,Male,39.00,>50K
42.00,Private,Some-college,10.00,Never-married,Exec-managerial,Not-in-family,White,Female,40.00,>50K
39.00,Private,Masters,14.00,Never-married,Sales,Not-in-family,White,Male,45.00,>50K
32.00,Private,Bachelors,13.00,Never-married,Exec-managerial,Other-relative,White,Male,50.00,>50K
53.00,Private,Some-college,10.00,Separated,Craft-repair,Not-in-family,White,Male,45.00,>50K
40.00,Local-gov,Some-college,10.00,Never-married,Protective-serv,Not-in-family,White,Male,40.00,>50K
38.00,Private,Bachelors,13.00,Never-married,Sales,Not-in-family,White,Female,45.00,>50K
33.00,Private,Assoc-voc,11.00,Separated,Craft-repair,Not-in-family,White,Male,42.00,>50K
43.00,Private,Assoc-acdm,12.00,Divorced,Craft-repair,Not-in-family,White,Male,70.00,>50K
50.00,Self-emp-inc,11th,7.00,Never-married,Exec-managerial,Other-relative,White,Male,40.00,>50K
44.00,Private,Some-college,10.00,Married-civ-spouse,Adm-clerical,Wife,White,Female,6.00,>50K
51.00,Self-emp-not-inc,Bachelors,13.00,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,40.00,>50K
41.00,Private,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.00,>50K
60.00,Self-emp-inc,Assoc-voc,11.00,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,70.00,>50K
37.00,Private,Masters,14.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.00,>50K
55.00,Self-emp-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,35.00,>50K
39.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Sales,Husband,White,Male,60.00,>50K
42.00,Self-emp-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.00,>50K
49.00,Private,Bachelors,13.00,Married-civ-spouse,Sales,Husband,White,Male,55.00,>50K
47.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.00,>50K
41.00,Local-gov,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,45.00,>50K
55.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.00,>50K
39.00,Private,Masters,14.00,Married-civ-spouse,Exec-managerial,Wife,White,Female,65.00,>50K
42.00,Private,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.00,>50K
41.00,?,Assoc-voc,11.00,Married-civ-spouse,?,Husband,White,Male,12.00,>50K
46.00,Private,Masters,14.00,Married-civ-spouse,Sales,Husband,White,Male,65.00,>50K
40.00,Private,Masters,14.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.00,>50K
32.00,Private,Bachelors,13.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,48.00,>50K
41.00,Self-emp-inc,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,55.00,>50K
60.00,Self-emp-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,80.00,>50K
31.00,Private,Masters,14.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,70.00,>50K
58.00,Self-emp-not-inc,Some-college,10.00,Married-civ-spouse,Farming-fishing,Husband,White,Male,40.00,>50K
37.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Sales,Husband,White,Male,50.00,>50K
44.00,Self-emp-not-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.00,>50K
39.00,Self-emp-not-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.00,>50K
43.00,Federal-gov,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,55.00,>50K
55.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.00,>50K
44.00,Self-emp-inc,Masters,14.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,55.00,>50K
39.00,Private,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,67.00,>50K
46.00,Self-emp-not-inc,Bachelors,13.00,Married-civ-spouse,Sales,Husband,White,Male,40.00,>50K
39.00,Private,Some-college,10.00,Married-civ-spouse,Farming-fishing,Husband,White,Male,99.00,>50K
62.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Farming-fishing,Husband,White,Male,60.00,>50K
31.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Other-service,Wife,White,Female,40.00,>50K
46.00,Private,Bachelors,13.00,Married-civ-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Male,35.00,>50K
46.00,Self-emp-not-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,80.00,>50K
39.00,Self-emp-inc,Assoc-voc,11.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,>50K
39.00,Private,Prof-school,15.00,Married-civ-spouse,Sales,Husband,White,Male,99.00,>50K
59.00,Private,Doctorate,16.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,45.00,>50K
50.00,Self-emp-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.00,>50K
46.00,Private,Doctorate,16.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,55.00,>50K
53.00,Self-emp-not-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.00,>50K
50.00,Self-emp-not-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,30.00,>50K
41.00,Self-emp-inc,Prof-school,15.00,Married-civ-spouse,Exec-managerial,Wife,White,Female,55.00,>50K
36.00,Private,Bachelors,13.00,Married-civ-spouse,Sales,Husband,White,Male,45.00,>50K
38.00,Private,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,90.00,>50K
54.00,Private,Some-college,10.00,Married-civ-spouse,Sales,Husband,White,Male,50.00,>50K
50.00,Private,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Wife,White,Female,20.00,>50K
47.00,Private,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.00,>50K
47.00,Self-emp-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,45.00,>50K
67.00,Private,Bachelors,13.00,Widowed,Exec-managerial,Not-in-family,White,Male,40.00,>50K
67.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,75.00,>50K
72.00,Self-emp-not-inc,Doctorate,16.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,25.00,>50K
72.00,?,Doctorate,16.00,Married-civ-spouse,?,Husband,White,Male,6.00,>50K
46.00,Self-emp-inc,Masters,14.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.00,>50K
78.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.00,>50K
71.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,60.00,>50K
83.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,55.00,>50K
68.00,Private,Masters,14.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.00,>50K
26.00,Private,Assoc-voc,11.00,Married-civ-spouse,Adm-clerical,Husband,White,Male,45.00,<=50K
68.00,State-gov,Doctorate,16.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.00,>50K
49.00,Self-emp-inc,HS-grad,9.00,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.00,>50K
36.00,Private,HS-grad,9.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,60.00,<=50K
70.00,Self-emp-not-inc,Bachelors,13.00,Married-civ-spouse,Craft-repair,Husband,White,Male,12.00,>50K
27.00,Private,Some-college,10.00,Married-civ-spouse,Adm-clerical,Wife,Black,Female,20.00,<=50K
35.00,Local-gov,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.00,<=50K
23.00,Private,HS-grad,9.00,Married-civ-spouse,Sales,Husband,White,Male,40.00,<=50K
81.00,Private,HS-grad,9.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,26.00,>50K
66.00,Self-emp-not-inc,Doctorate,16.00,Married-civ-spouse,Sales,Husband,White,Male,25.00,>50K
71.00,Private,HS-grad,9.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.00,>50K
68.00,Private,Some-college,10.00,Married-civ-spouse,Sales,Husband,White,Male,55.00,>50K
68.00,State-gov,Masters,14.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,42.00,>50K
65.00,?,Bachelors,13.00,Married-civ-spouse,?,Husband,White,Male,40.00,>50K
52.00,Private,HS-grad,9.00,Married-civ-spouse,Sales,Husband,Black,Male,40.00,<=50K
40.00,Self-emp-inc,Assoc-acdm,12.00,Married-civ-spouse,Craft-repair,Husband,White,Male,50.00,<=50K
68.00,?,Bachelors,13.00,Married-civ-spouse,?,Husband,White,Male,35.00,>50K
21.00,Private,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,48.00,<=50K
35.00,Private,HS-grad,9.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
70.00,Self-emp-inc,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,50.00,>50K
61.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Farming-fishing,Husband,White,Male,50.00,<=50K
65.00,Self-emp-inc,HS-grad,9.00,Married-civ-spouse,Farming-fishing,Husband,White,Male,65.00,<=50K
46.00,Private,5th-6th,3.00,Divorced,Craft-repair,Not-in-family,White,Female,45.00,<=50K
26.00,Local-gov,Bachelors,13.00,Never-married,Prof-specialty,Not-in-family,White,Male,55.00,<=50K
59.00,Local-gov,HS-grad,9.00,Widowed,Farming-fishing,Unmarried,White,Male,40.00,<=50K
61.00,Private,5th-6th,3.00,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40.00,<=50K
60.00,State-gov,Bachelors,13.00,Divorced,Prof-specialty,Not-in-family,White,Female,40.00,<=50K
49.00,Self-emp-inc,Some-college,10.00,Divorced,Exec-managerial,Not-in-family,White,Male,50.00,<=50K
34.00,Private,Bachelors,13.00,Married-spouse-absent,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,40.00,<=50K
25.00,Private,Bachelors,13.00,Never-married,Prof-specialty,Own-child,White,Female,35.00,<=50K
55.00,Private,Some-college,10.00,Never-married,Adm-clerical,Not-in-family,Black,Female,45.00,<=50K
59.00,Local-gov,HS-grad,9.00,Separated,Protective-serv,Other-relative,Black,Female,40.00,<=50K
28.00,State-gov,Some-college,10.00,Separated,Exec-managerial,Own-child,White,Male,40.00,<=50K
43.00,?,Assoc-voc,11.00,Widowed,?,Not-in-family,White,Female,36.00,<=50K
56.00,Self-emp-not-inc,Masters,14.00,Divorced,Sales,Unmarried,White,Female,60.00,<=50K
41.00,Private,HS-grad,9.00,Divorced,Craft-repair,Not-in-family,White,Male,40.00,<=50K
42.00,Private,HS-grad,9.00,Never-married,Adm-clerical,Other-relative,Black,Female,40.00,<=50K
28.00,Private,Prof-school,15.00,Never-married,Prof-specialty,Not-in-family,White,Male,40.00,<=50K
40.00,Self-emp-not-inc,Prof-school,15.00,Divorced,Other-service,Not-in-family,White,Female,35.00,<=50K
69.00,Private,Bachelors,13.00,Widowed,Prof-specialty,Not-in-family,White,Male,40.00,>50K
66.00,Local-gov,HS-grad,9.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
69.00,Private,5th-6th,3.00,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.00,<=50K
55.00,Local-gov,Masters,14.00,Married-civ-spouse,Prof-specialty,Wife,White,Female,40.00,<=50K
57.00,Federal-gov,HS-grad,9.00,Never-married,Adm-clerical,Not-in-family,White,Male,40.00,<=50K
20.00,Self-emp-not-inc,Some-college,10.00,Never-married,Farming-fishing,Own-child,White,Male,10.00,<=50K
33.00,Private,HS-grad,9.00,Divorced,Craft-repair,Not-in-family,White,Male,84.00,<=50K
30.00,Self-emp-not-inc,Some-college,10.00,Never-married,Sales,Other-relative,Asian-Pac-Islander,Male,40.00,<=50K
40.00,Private,Bachelors,13.00,Never-married,Tech-support,Not-in-family,Asian-Pac-Islander,Female,48.00,<=50K
38.00,Private,Some-college,10.00,Separated,Machine-op-inspct,Not-in-family,White,Male,55.00,>50K
46.00,State-gov,Assoc-acdm,12.00,Divorced,Adm-clerical,Unmarried,White,Male,38.00,>50K
29.00,Private,Bachelors,13.00,Never-married,Exec-managerial,Not-in-family,White,Female,45.00,>50K
57.00,Federal-gov,Bachelors,13.00,Never-married,Adm-clerical,Not-in-family,White,Male,40.00,<=50K
39.00,Private,HS-grad,9.00,Never-married,Craft-repair,Own-child,White,Male,42.00,>50K
47.00,Private,Bachelors,13.00,Divorced,Exec-managerial,Not-in-family,White,Male,40.00,>50K
26.00,Private,Bachelors,13.00,Never-married,Exec-managerial,Not-in-family,White,Male,45.00,>50K
27.00,Self-emp-not-inc,HS-grad,9.00,Never-married,Craft-repair,Not-in-family,White,Male,50.00,<=50K
23.00,Private,Bachelors,13.00,Never-married,Prof-specialty,Own-child,White,Female,40.00,>50K
34.00,Private,Masters,14.00,Never-married,Prof-specialty,Not-in-family,White,Male,50.00,<=50K
33.00,Private,12th,8.00,Divorced,Craft-repair,Not-in-family,White,Male,42.00,<=50K
38.00,Local-gov,Masters,14.00,Never-married,Prof-specialty,Not-in-family,White,Female,60.00,<=50K
57.00,Private,Some-college,10.00,Widowed,Adm-clerical,Unmarried,White,Female,38.00,>50K
36.00,Private,HS-grad,9.00,Never-married,Exec-managerial,Not-in-family,White,Male,70.00,<=50K
44.00,Federal-gov,Bachelors,13.00,Divorced,Tech-support,Not-in-family,White,Male,40.00,>50K
49.00,State-gov,Doctorate,16.00,Never-married,Exec-managerial,Not-in-family,White,Female,50.00,>50K
44.00,Self-emp-inc,Some-college,10.00,Never-married,Sales,Not-in-family,White,Male,60.00,<=50K
55.00,Private,Some-college,10.00,Widowed,Farming-fishing,Not-in-family,White,Male,62.00,>50K
45.00,Private,HS-grad,9.00,Divorced,Farming-fishing,Not-in-family,White,Male,44.00,>50K
48.00,Private,HS-grad,9.00,Divorced,Exec-managerial,Not-in-family,White,Female,40.00,>50K
31.00,Private,Bachelors,13.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,45.00,>50K
55.00,Local-gov,HS-grad,9.00,Married-civ-spouse,Prof-specialty,Other-relative,White,Female,40.00,>50K
70.00,Self-emp-not-inc,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.00,>50K
70.00,Self-emp-not-inc,Masters,14.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,8.00,>50K
73.00,Private,Bachelors,13.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.00,>50K
72.00,Self-emp-not-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,28.00,>50K
31.00,Private,HS-grad,9.00,Separated,Machine-op-inspct,Unmarried,White,Female,40.00,<=50K
28.00,Private,10th,6.00,Widowed,Adm-clerical,Unmarried,White,Female,35.00,<=50K
23.00,Self-emp-not-inc,Bachelors,13.00,Never-married,Adm-clerical,Own-child,White,Male,40.00,>50K
49.00,Local-gov,9th,5.00,Widowed,Handlers-cleaners,Unmarried,White,Male,40.00,>50K
27.00,Local-gov,Some-college,10.00,Never-married,Protective-serv,Not-in-family,White,Male,40.00,>50K
90.00,Private,HS-grad,9.00,Never-married,Other-service,Not-in-family,Black,Male,40.00,<=50K
68.00,Private,HS-grad,9.00,Widowed,Adm-clerical,Not-in-family,White,Female,30.00,<=50K
65.00,Private,HS-grad,9.00,Divorced,Adm-clerical,Unmarried,White,Female,59.00,<=50K
65.00,?,HS-grad,9.00,Widowed,?,Unmarried,White,Female,10.00,<=50K
67.00,Private,Bachelors,13.00,Divorced,Exec-managerial,Not-in-family,White,Female,5.00,<=50K
66.00,Local-gov,Bachelors,13.00,Widowed,Prof-specialty,Not-in-family,Black,Female,25.00,<=50K
24.00,Private,Some-college,10.00,Never-married,Adm-clerical,Not-in-family,White,Male,24.00,<=50K
44.00,Self-emp-not-inc,Some-college,10.00,Divorced,Machine-op-inspct,Not-in-family,White,Male,35.00,<=50K
35.00,Private,Some-college,10.00,Never-married,Adm-clerical,Own-child,White,Female,40.00,<=50K
20.00,Private,Assoc-acdm,12.00,Never-married,Other-service,Own-child,White,Female,18.00,<=50K
38.00,Private,HS-grad,9.00,Divorced,Craft-repair,Not-in-family,White,Male,40.00,<=50K
39.00,Private,Some-college,10.00,Never-married,Other-service,Own-child,Black,Female,40.00,<=50K
32.00,Private,Some-college,10.00,Never-married,Machine-op-inspct,Other-relative,White,Female,40.00,<=50K
42.00,Private,7th-8th,4.00,Never-married,Handlers-cleaners,Not-in-family,Black,Male,40.00,<=50K
63.00,?,HS-grad,9.00,Divorced,?,Not-in-family,White,Female,40.00,<=50K
42.00,Self-emp-inc,Masters,14.00,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Male,60.00,>50K
64.00,Private,11th,7.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
28.00,Private,7th-8th,4.00,Married-civ-spouse,Handlers-cleaners,Husband,Other,Male,40.00,<=50K
41.00,Self-emp-inc,Assoc-voc,11.00,Married-civ-spouse,Sales,Husband,Other,Male,84.00,<=50K
41.00,Self-emp-not-inc,7th-8th,4.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
58.00,Self-emp-not-inc,1st-4th,2.00,Married-civ-spouse,Transport-moving,Husband,White,Male,18.00,<=50K
59.00,State-gov,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,40.00,<=50K
34.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Farming-fishing,Wife,White,Female,12.00,<=50K
45.00,Private,HS-grad,9.00,Married-civ-spouse,Transport-moving,Husband,White,Male,45.00,<=50K
29.00,Private,HS-grad,9.00,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.00,<=50K
47.00,Private,10th,6.00,Married-civ-spouse,Sales,Husband,White,Male,52.00,<=50K
40.00,Private,Some-college,10.00,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40.00,<=50K
47.00,Self-emp-not-inc,5th-6th,3.00,Married-civ-spouse,Sales,Husband,White,Male,50.00,<=50K
63.00,?,Bachelors,13.00,Married-civ-spouse,?,Husband,White,Male,45.00,<=50K
41.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.00,<=50K
34.00,Private,Some-college,10.00,Married-civ-spouse,Transport-moving,Husband,Black,Male,40.00,<=50K
66.00,?,Bachelors,13.00,Married-civ-spouse,?,Husband,White,Male,40.00,>50K
65.00,Self-emp-not-inc,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,White,Male,10.00,>50K
70.00,Private,HS-grad,9.00,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40.00,>50K
75.00,Self-emp-not-inc,Prof-school,15.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.00,>50K
65.00,State-gov,HS-grad,9.00,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.00,>50K
65.00,Federal-gov,Some-college,10.00,Married-civ-spouse,Exec-managerial,Husband,Black,Male,40.00,>50K
73.00,Private,Some-college,10.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,50.00,>50K
60.00,?,Bachelors,13.00,Married-civ-spouse,?,Husband,Asian-Pac-Islander,Male,25.00,<=50K
68.00,Self-emp-not-inc,Assoc-voc,11.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.00,<=50K
74.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Sales,Husband,White,Male,20.00,<=50K
43.00,Private,5th-6th,3.00,Married-civ-spouse,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,72.00,<=50K
19.00,Self-emp-not-inc,11th,7.00,Married-civ-spouse,Craft-repair,Own-child,White,Male,55.00,<=50K
37.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
45.00,Federal-gov,Assoc-acdm,12.00,Divorced,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,40.00,<=50K
64.00,Private,Masters,14.00,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,60.00,<=50K
30.00,Private,HS-grad,9.00,Married-civ-spouse,Transport-moving,Husband,White,Male,40.00,<=50K
51.00,Self-emp-not-inc,Some-college,10.00,Married-civ-spouse,Prof-specialty,Wife,White,Female,60.00,<=50K
35.00,Private,11th,7.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
29.00,Private,HS-grad,9.00,Married-civ-spouse,Adm-clerical,Wife,White,Female,20.00,<=50K
34.00,Private,Some-college,10.00,Married-civ-spouse,Adm-clerical,Wife,White,Female,40.00,<=50K
41.00,Private,HS-grad,9.00,Married-civ-spouse,Craft-repair,Husband,White,Male,60.00,<=50K
35.00,Private,Some-college,10.00,Married-civ-spouse,Craft-repair,Husband,White,Male,45.00,<=50K
26.00,Private,Some-college,10.00,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.00,<=50K
54.00,Private,HS-grad,9.00,Married-civ-spouse,Transport-moving,Husband,White,Male,50.00,<=50K
52.00,Local-gov,HS-grad,9.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
50.00,Self-emp-not-inc,HS-grad,9.00,Married-civ-spouse,Farming-fishing,Husband,White,Male,20.00,<=50K
31.00,Private,Some-college,10.00,Married-civ-spouse,Adm-clerical,Husband,White,Male,40.00,<=50K
38.00,Federal-gov,HS-grad,9.00,Married-civ-spouse,Transport-moving,Husband,White,Male,40.00,<=50K
30.00,Private,Some-college,10.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
34.00,Local-gov,Bachelors,13.00,Married-civ-spouse,Prof-specialty,Husband,White,Male,40.00,<=50K
31.00,Private,Some-college,10.00,Married-civ-spouse,Sales,Husband,White,Male,57.00,<=50K
52.00,Private,HS-grad,9.00,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,38.00,<=50K
54.00,Private,HS-grad,9.00,Married-civ-spouse,Craft-repair,Husband,White,Male,40.00,<=50K
